Field=#~Integer~#~50|Field=Comment~String~Comment~100|Field=Description~String~Description~100|Field=Designator~String~Designator~100|Field=Footprint~String~Footprint~100|Field=LibRef~String~LibRef~100|Field=Quantity~Integer~Quantity~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~CAN-Shield.PrjPCB|ReportField=ProjectFullPath~C:\Users\Public\Documents\Altium\CAN-Shield\CAN-Shield.PrjPCB|ReportField=Title~Bill of Materials For Project [CAN-Shield.PrjPCB] (No PCB Document Selected)|ReportField=ReportTime~10:06:42 PM|ReportField=ReportDate~6/27/2020|ReportField=ReportDateTime~6/27/2020 10:06:42 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=TotalQuantity~17|ReportField=TotalActualPrice~0|ReportField=TotalTargetPrice~0|ReportField=VersionControl_RevNumber~|ReportField=VersionControl_ProjFolderRevNumber~|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~6/27/2020|ReportField=CurrentTime~10:05:49 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Public\Documents\Altium\CAN-Shield\Can-Shield.SchDoc|ReportField=DocumentName~Can-Shield.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~6/27/2020|ReportField=Organization~|ReportField=ProjectName~CAN-Shield.PrjPCB|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~|ReportField=SheetTotal~|ReportField=Time~|ReportField=Title~|ReportField=DataSourceFileName~CAN-Shield.PrjPCB|ReportField=DataSourceFullPath~C:\Users\Public\Documents\Altium\CAN-Shield\CAN-Shield.PrjPCB|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
1|TCAN1042HVDQ1|Integrated Circuit|IC1|SOIC127P600X175-8N|TCAN1042HVDQ1|1
2|KRTBLSLPS1.32-VUVX-EQ+BTBV-D8+TWTZ-L1-B|LED|LED1|KRTBLSLPS132VUVXEQBTBVD8TWTZL1B|KRTBLSLPS1.32-VUVX-EQ+BTBV-D8+TWTZ-L1-B|1
3|Header 10|Header, 10-Pin|P1|HDR1X10|Header 10|1
4|Header 19X2|Header, 19-Pin, Dual row|P2, P4|HDR2X19|Header 19X2|2
5|Header 8|Header, 8-Pin|P3, P5|HDR1X8|Header 8|2
6|Header 6|Header, 6-Pin|P6|HDR1X6|Header 6|1
7|CAN_IN|Header, 2-Pin|P7|HDR1X2|Header 2|1
8|CAN_OUT|Header, 2-Pin|P8|HDR1X2|Header 2|1
9|USART1|Header, 2-Pin|P9|HDR1X2|Header 2|1
10|SPI1|Header, 4-Pin|P10|HDR1X4|Header 4|1
11|I2C2|Header, 2-Pin|P11|HDR1X2|Header 2|1
12|Res3|Resistor|R1, R2, R3, R4|J1-0603|Res3|4
